experiment_number,model,dataset_name,target_column,feature_columns,window_size,horizon,train_ratio,val_ratio,test_ratio,hidden_size,learning_rate,epochs,mae_train,rmse_train,mae_val,rmse_val,mae_test,rmse_test,plot_path,notes,run_timestamp
1,PersistenceBaseline,jena_climate_hourly.csv,T (degC),T (degC) | p (mbar) | rh (%) | wv (m/s) | wd (deg),24,1,0.7,0.15,0.15,,,,0.682128,0.960476,0.687024,0.970567,0.643912,0.901462,results\baseline_predictions.png,Persistence baseline: predict the next target value as the most recent target observed in the input window.,2026-05-02T17:10:15.996717+00:00
2,ManualRNN,jena_climate_hourly.csv,T (degC),T (degC) | p (mbar) | rh (%) | wv (m/s) | wd (deg),24,1,0.7,0.15,0.15,16,0.001,5,0.590783,0.836971,0.588657,0.840739,0.544289,0.760433,results\rnn_predictions.png,"Manual tanh RNN regressor trained with sample-wise SGD, full backpropagation through time, and global gradient clipping. max_train_samples=10000, final_normalized_mse=0.010351.",2026-05-02T17:10:40.648825+00:00
3,ManualLSTM,jena_climate_hourly.csv,T (degC),T (degC) | p (mbar) | rh (%) | wv (m/s) | wd (deg),24,1,0.7,0.15,0.15,16,0.001,15,0.611579,0.854705,0.635068,0.880766,0.597196,0.818730,results\lstm_predictions.png,Manual many-to-one LSTM regressor trained with sample-wise SGD and backpropagation through time. max_train_samples=20000.,2026-05-02T17:56:26.684961+00:00
